
===== Field-level results =====

label                accuracy     precision    recall       f1           support

<PAD>                99.85        0            0            0            0      
<gramGrp>            99.08        96.88        98.41        97.64        126    
<orth>               98.47        95.42        96.9         96.15        129    
<pc>                 99.69        100          99.22        99.61        257    
<pron>               99.69        98.46        100          99.22        128    
<usg>                99.69        0            0            0            2      

all (micro avg.)     99.33        98.14        98.44        98.29        642    
all (macro avg.)     99.33        78.15        78.91        78.53        642    
